id,ObjectType,XDouble,YDouble,WDouble,HDouble,Args
0,STATICblock1,2.0,7.0,1,1,Na
1,STATICblock1,2.0,7.0,1,1,Na
2,STATICblock1,3.0,7.0,1,1,Na
3,STATICblock1,3.0,7.0,1,1,Na
4,STATICblock1,4.0,7.0,1,1,Na
5,STATICblock1,4.0,7.0,1,1,Na
6,STATICblock1,5.0,7.0,1,1,Na
7,STATICblock1,5.0,7.0,1,1,Na
8,STATICblock1,6.0,7.0,1,1,Na
9,STATICblock1,6.0,7.0,1,1,Na
10,STATICblock1,7.0,7.0,1,1,Na
11,STATICblock1,7.0,7.0,1,1,Na
12,STATICblock1,8.0,7.0,1,1,Na
13,STATICblock1,8.0,7.0,1,1,Na
14,STATICblock1,9.0,7.0,1,1,Na
15,STATICblock1,9.0,7.0,1,1,Na
16,STATICblock1,10.0,7.0,1,1,Na
17,STATICblock1,10.0,7.0,1,1,Na
18,STATICblock1,11.0,7.0,1,1,Na
19,STATICblock1,11.0,7.0,1,1,Na
20,STATICblock1,12.0,7.0,1,1,Na
21,STATICblock1,12.0,7.0,1,1,Na
22,STATICblock1,13.0,7.0,1,1,Na
23,STATICblock1,13.0,7.0,1,1,Na
24,STATICblock1,15.0,7.0,1,1,Na
25,STATICblock1,15.0,7.0,1,1,Na
26,STATICblock1,14.0,7.0,1,1,Na
27,STATICblock1,14.0,7.0,1,1,Na
28,STATICblock1,16.0,7.0,1,1,Na
29,STATICblock1,16.0,7.0,1,1,Na
30,STATICblock1,17.0,7.0,1,1,Na
31,STATICblock1,17.0,7.0,1,1,Na
32,STATICblock1,18.0,7.0,1,1,Na
33,STATICblock1,18.0,7.0,1,1,Na
34,STATICblock1,19.0,7.0,1,1,Na
35,STATICblock1,19.0,7.0,1,1,Na
36,STATICblock1,20.0,6.0,1,1,Na
37,STATICblock1,20.0,6.0,1,1,Na
38,STATICblock1,21.0,6.0,1,1,Na
39,STATICblock1,21.0,6.0,1,1,Na
40,STATICblock1,22.0,6.0,1,1,Na
41,STATICblock1,22.0,6.0,1,1,Na
42,STATICblock1,23.0,6.0,1,1,Na
43,STATICblock1,23.0,6.0,1,1,Na
44,STATICblock1,24.0,6.0,1,1,Na
45,STATICblock1,24.0,6.0,1,1,Na
46,STATICblock1,25.0,5.0,1,1,Na
47,STATICblock1,25.0,5.0,1,1,Na
48,STATICblock1,25.0,4.0,1,1,Na
49,STATICblock1,25.0,4.0,1,1,Na
50,STATICblock1,26.0,4.0,1,1,Na
51,STATICblock1,26.0,4.0,1,1,Na
52,STATICblock1,27.0,4.0,1,1,Na
53,STATICblock1,27.0,4.0,1,1,Na
54,STATICblock1,25.0,6.0,1,1,Na
55,STATICblock1,25.0,6.0,1,1,Na
56,STATICblock1,20.0,7.0,1,1,Na
57,STATICblock1,20.0,7.0,1,1,Na
58,STATICblock1,28.0,4.0,1,1,Na
59,STATICblock1,28.0,4.0,1,1,Na
60,STATICblock1,29.0,4.0,1,1,Na
61,STATICblock1,29.0,4.0,1,1,Na
62,STATICblock1,29.0,7.0,1,1,Na
63,STATICblock1,29.0,7.0,1,1,Na
64,STATICblock1,29.0,6.0,1,1,Na
65,STATICblock1,29.0,6.0,1,1,Na
66,STATICblock1,29.0,5.0,1,1,Na
67,STATICblock1,29.0,5.0,1,1,Na
68,STATICblock1,30.0,7.0,1,1,Na
69,STATICblock1,30.0,7.0,1,1,Na
70,STATICblock1,31.0,7.0,1,1,Na
71,STATICblock1,31.0,7.0,1,1,Na
72,STATICblock1,32.0,7.0,1,1,Na
73,STATICblock1,32.0,7.0,1,1,Na
74,STATICblock1,33.0,7.0,1,1,Na
75,STATICblock1,33.0,7.0,1,1,Na
76,STATICblock1,34.0,7.0,1,1,Na
77,STATICblock1,34.0,7.0,1,1,Na
78,STATICblock1,35.0,7.0,1,1,Na
79,STATICblock1,35.0,7.0,1,1,Na
80,STATICblock1,36.0,7.0,1,1,Na
81,STATICblock1,36.0,7.0,1,1,Na
82,STATICblock1,37.0,7.0,1,1,Na
83,STATICblock1,37.0,7.0,1,1,Na
84,STATICblock1,38.0,7.0,1,1,Na
85,STATICblock1,38.0,7.0,1,1,Na
86,STATICblock1,39.0,6.0,1,1,Na
87,STATICblock1,39.0,6.0,1,1,Na
88,STATICblock1,41.0,6.0,1,1,Na
89,STATICblock1,41.0,6.0,1,1,Na
90,STATICblock1,40.0,6.0,1,1,Na
91,STATICblock1,40.0,6.0,1,1,Na
92,STATICblock1,42.0,6.0,1,1,Na
93,STATICblock1,42.0,6.0,1,1,Na
94,STATICblock1,43.0,6.0,1,1,Na
95,STATICblock1,43.0,6.0,1,1,Na
96,STATICblock1,44.0,7.0,1,1,Na
97,STATICblock1,44.0,7.0,1,1,Na
98,STATICblock1,45.0,7.0,1,1,Na
99,STATICblock1,45.0,7.0,1,1,Na
