id,ObjectType,XDouble,YDouble,WDouble,HDouble,Args
0,DevFloor,2.0,7.0,1,1,Na
1,DevFloor,2.0,7.0,1,1,Na
2,DevFloor,2.0,7.0,1,1,Na
3,DevFloor,2.0,7.0,1,1,Na
4,DevFloor,3.0,7.0,1,1,Na
5,DevFloor,3.0,7.0,1,1,Na
6,DevFloor,3.0,7.0,1,1,Na
7,DevFloor,3.0,7.0,1,1,Na
8,DevFloor,4.0,7.0,1,1,Na
9,DevFloor,4.0,7.0,1,1,Na
10,DevFloor,4.0,7.0,1,1,Na
11,DevFloor,4.0,7.0,1,1,Na
12,DevFloor,5.0,7.0,1,1,Na
13,DevFloor,5.0,7.0,1,1,Na
14,DevFloor,5.0,7.0,1,1,Na
15,DevFloor,5.0,7.0,1,1,Na
16,DevFloor,6.0,7.0,1,1,Na
17,DevFloor,7.0,7.0,1,1,Na
18,DevFloor,8.0,7.0,1,1,Na
19,DevFloor,9.0,7.0,1,1,Na
20,DevFloor,10.0,7.0,1,1,Na
21,LevelLoadInteractable,3.0,3.0,3.0,3.0,Mario
22,LevelLoadInteractable,7.463414665486612,4.127083333333333,2.697916666666668,4.312500000000002,2
