id,ObjectType,XDouble,YDouble,WDouble,HDouble,Args
0,STATICDevFloor,2.0,7.0,1,1,Na
1,STATICDevFloor,2.0,7.0,1,1,Na
2,STATICDevFloor,3.0,7.0,1,1,Na
3,STATICDevFloor,3.0,7.0,1,1,Na
4,STATICDevFloor,4.0,7.0,1,1,Na
5,STATICDevFloor,4.0,7.0,1,1,Na
6,STATICDevFloor,5.0,7.0,1,1,Na
7,STATICDevFloor,5.0,7.0,1,1,Na
8,STATICDevFloor,6.0,7.0,1,1,Na
9,STATICDevFloor,6.0,7.0,1,1,Na
10,STATICDevFloor,7.0,7.0,1,1,Na
11,STATICDevFloor,7.0,7.0,1,1,Na
12,STATICDevFloor,8.0,7.0,1,1,Na
13,STATICDevFloor,8.0,7.0,1,1,Na
14,STATICDevFloor,9.0,7.0,1,1,Na
15,STATICDevFloor,9.0,7.0,1,1,Na
16,STATICDevFloor,10.0,7.0,1,1,Na
17,STATICDevFloor,10.0,7.0,1,1,Na
18,STATICDevFloor,11.0,7.0,1,1,Na
19,STATICDevFloor,11.0,7.0,1,1,Na
20,STATICDevFloor,12.0,7.0,1,1,Na
21,STATICDevFloor,12.0,7.0,1,1,Na
22,STATICDevFloor,13.0,7.0,1,1,Na
23,STATICDevFloor,13.0,7.0,1,1,Na
24,STATICDevFloor,15.0,7.0,1,1,Na
25,STATICDevFloor,15.0,7.0,1,1,Na
26,STATICDevFloor,14.0,7.0,1,1,Na
27,STATICDevFloor,14.0,7.0,1,1,Na
28,STATICDevFloor,16.0,7.0,1,1,Na
29,STATICDevFloor,16.0,7.0,1,1,Na
30,STATICDevFloor,17.0,7.0,1,1,Na
31,STATICDevFloor,17.0,7.0,1,1,Na
32,STATICDevFloor,18.0,7.0,1,1,Na
33,STATICDevFloor,18.0,7.0,1,1,Na
34,STATICDevFloor,19.0,7.0,1,1,Na
35,STATICDevFloor,19.0,7.0,1,1,Na
36,STATICDevFloor,20.0,6.0,1,1,Na
37,STATICDevFloor,20.0,6.0,1,1,Na
38,STATICDevFloor,21.0,6.0,1,1,Na
39,STATICDevFloor,21.0,6.0,1,1,Na
40,STATICDevFloor,22.0,6.0,1,1,Na
41,STATICDevFloor,22.0,6.0,1,1,Na
42,STATICDevFloor,23.0,6.0,1,1,Na
43,STATICDevFloor,23.0,6.0,1,1,Na
44,STATICDevFloor,24.0,6.0,1,1,Na
45,STATICDevFloor,24.0,6.0,1,1,Na
46,STATICDevFloor,25.0,5.0,1,1,Na
47,STATICDevFloor,25.0,5.0,1,1,Na
48,STATICDevFloor,25.0,4.0,1,1,Na
49,STATICDevFloor,25.0,4.0,1,1,Na
50,STATICDevFloor,26.0,4.0,1,1,Na
51,STATICDevFloor,26.0,4.0,1,1,Na
52,STATICDevFloor,27.0,4.0,1,1,Na
53,STATICDevFloor,27.0,4.0,1,1,Na
