id,ObjectType,XDouble,YDouble,WDouble,HDouble,Args
0,DevFloor,2.0,7.0,1,1,Na
1,DevFloor,2.0,7.0,1,1,Na
2,DevFloor,3.0,7.0,1,1,Na
3,DevFloor,3.0,7.0,1,1,Na
4,DevFloor,4.0,7.0,1,1,Na
5,DevFloor,4.0,7.0,1,1,Na
6,DevFloor,5.0,7.0,1,1,Na
7,DevFloor,5.0,7.0,1,1,Na
8,2,6.0,7.0,1,1,Na
9,2,7.0,7.0,1,1,Na
10,2,8.0,5.0,1,1,Na
11,2,8.0,7.0,1,1,Na
12,2,8.0,6.0,1,1,Na
13,2,9.0,6.0,1,1,Na
14,2,9.0,7.0,1,1,Na
15,2,10.0,8.0,1,1,Na
16,2,11.0,9.0,1,1,Na
17,3,13.0,3.0,1,1,Na
18,3,11.0,2.0,1,1,Na
19,3,11.0,1.0,1,1,Na
20,3,16.0,0.0,1,1,Na
21,3,16.0,3.0,1,1,Na
22,3,6.0,1.0,1,1,Na
